domain_type,protocol,label
1,2,0
0,1,0
1,2,1
3,2,0
1,2,0
1,1,0
3,1,0
0,1,0
0,1,1
1,2,0
1,2,0
11,1,1
0,1,0
0,2,1
0,1,0
3,1,0
45,0,1
0,0,1
5,1,1
1,2,0
0,2,1
0,0,1
0,1,0
31,2,1
0,1,0
1,1,0
0,2,1
1,2,0
5,1,1
1,1,1
0,2,1
3,1,0
0,1,1
0,2,0
0,0,1
0,1,0
3,1,0
0,1,0
1,2,1
0,0,1
0,1,0
0,2,1
0,1,1
1,2,0
1,2,0
0,1,1
0,0,1
0,2,0
0,2,0
0,1,1
0,1,0
5,2,1
1,1,1
0,1,1
0,0,1
0,1,1
0,2,1
0,1,1
1,2,1
0,1,0
0,2,1
0,1,0
0,1,0
1,2,0
0,1,0
0,1,0
1,2,0
3,1,0
3,1,0
1,2,0
45,0,1
0,1,0
45,2,1
0,1,0
3,1,0
0,2,1
0,1,0
3,1,0
1,1,0
0,1,0
0,1,0
0,1,0
45,1,1
0,1,0
0,1,0
0,1,1
0,1,0
1,1,0
3,1,1
0,1,1
0,1,0
0,1,0
3,1,0
0,2,1
0,1,1
0,2,0
1,2,1
0,0,1
0,1,0
1,2,0
1,2,1
3,2,1
0,1,0
0,2,1
1,2,1
1,2,1
0,0,1
0,2,1
0,1,0
0,1,0
0,1,1
0,2,1
1,2,1
1,2,1
1,2,1
0,1,0
3,2,0
0,1,0
1,2,0
45,0,1
0,1,0
0,1,0
0,0,1
0,1,0
1,1,0
1,2,0
0,1,1
0,2,1
0,1,0
0,1,0
3,1,0
0,2,1
0,1,0
0,2,1
0,1,0
5,1,1
0,1,0
0,1,1
45,0,1
0,2,0
0,2,0
1,2,0
1,2,1
3,1,0
0,0,1
0,0,1
0,1,1
0,2,0
0,1,0
1,2,1
3,2,0
1,2,1
3,1,0
31,2,1
0,1,1
1,1,0
1,2,0
0,1,1
1,2,1
45,2,0
1,2,0
0,1,1
1,2,0
45,0,1
0,2,1
0,1,0
0,1,0
0,1,0
0,1,1
45,1,1
1,2,0
0,1,1
1,2,0
1,2,1
11,1,1
0,1,0
11,2,1
1,2,1
3,1,0
1,2,0
3,1,0
1,2,0
1,2,0
0,1,0
0,1,0
1,2,1
0,2,1
2,1,0
3,1,0
1,2,0
3,2,0
1,2,0
0,2,1
3,2,0
0,1,0
0,2,1
0,1,0
0,2,0
0,1,0
0,1,0
0,2,1
0,1,0
11,2,1
0,1,0
0,1,1
0,1,0
3,2,0
0,1,0
0,1,1
0,1,0
0,1,0
45,0,1
1,2,0
3,2,0
1,2,1
0,1,0
1,2,0
3,1,0
0,0,1
0,1,0
3,2,0
0,1,0
1,1,0
0,1,1
0,2,1
0,1,0
1,2,1
0,1,0
0,1,0
3,1,0
1,2,0
5,2,1
0,1,0
0,0,1
3,1,0
0,2,1
1,1,0
11,1,0
0,0,1
0,2,1
0,1,0
5,1,1
5,1,1
3,1,0
0,0,1
1,2,0
45,2,1
3,2,0
3,1,0
0,1,1
11,2,1
3,1,0
0,1,0
45,2,1
45,1,1
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,1,1
5,2,1
1,1,0
0,1,0
0,2,0
0,1,0
45,1,1
0,1,1
0,0,1
0,1,0
0,1,0
1,2,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,2,0
0,1,1
3,1,0
0,1,0
0,1,0
45,2,0
0,2,1
0,1,1
1,2,0
0,1,0
1,2,0
0,2,1
0,1,0
0,1,0
3,1,0
0,1,1
45,0,1
1,1,1
45,1,1
0,1,1
0,0,1
0,0,1
0,1,0
0,2,1
0,1,0
1,2,0
1,2,0
0,1,0
1,2,1
0,1,0
1,1,0
3,2,0
1,2,0
0,2,1
1,2,0
3,2,0
0,1,1
1,2,0
0,1,1
1,2,0
1,1,0
0,1,1
0,0,1
1,2,0
0,2,1
1,2,1
0,1,1
0,1,0
3,2,1
45,2,1
1,2,0
3,1,0
0,1,0
0,1,1
0,1,0
3,1,0
0,1,1
0,1,0
0,0,1
3,2,1
0,1,0
1,2,0
0,1,0
0,1,0
45,1,1
1,2,0
3,1,0
3,2,0
0,2,1
0,1,1
0,0,1
45,0,1
0,1,1
0,1,0
0,1,1
3,2,1
1,2,1
0,1,1
0,1,1
0,2,0
0,1,0
1,1,0
0,1,0
3,1,0
0,1,0
0,1,0
1,2,1
0,2,1
3,1,0
0,1,1
0,1,0
0,1,1
3,1,0
0,2,0
0,1,1
0,2,0
0,0,1
0,2,1
45,2,1
0,1,0
3,1,0
0,1,1
1,1,1
1,2,0
0,1,0
1,1,1
1,2,0
1,2,0
1,2,1
0,1,0
0,1,0
0,0,1
0,1,0
0,1,1
0,2,0
0,2,1
39,1,1
45,1,1
0,1,0
1,2,0
0,1,1
0,1,0
1,2,0
0,1,1
0,0,1
3,2,0
1,2,1
0,2,1
0,0,1
1,1,0
0,0,1
0,2,1
1,2,0
3,1,0
1,2,1
1,2,0
0,1,0
11,2,1
0,1,0
0,1,0
0,1,1
1,1,0
0,2,1
0,2,0
1,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,2,0
0,2,1
1,2,0
45,2,1
0,2,1
0,1,1
5,1,1
2,1,0
0,1,0
1,1,0
1,2,1
1,2,0
3,1,0
1,2,1
1,2,1
0,1,1
0,1,0
1,2,0
0,0,1
1,2,0
3,1,0
0,1,0
0,0,1
0,1,1
0,1,0
3,1,0
0,1,0
0,1,0
0,1,0
1,2,1
0,1,0
1,2,0
3,1,0
0,1,0
3,1,0
1,2,0
3,1,0
0,0,1
45,0,1
1,1,0
3,1,0
1,2,0
0,1,0
0,0,1
0,1,1
0,1,0
3,1,0
1,1,0
0,1,1
0,2,0
1,2,0
1,2,0
0,1,0
0,2,1
1,2,0
1,1,1
0,1,0
0,1,0
0,1,0
3,1,0
3,1,0
0,1,0
1,2,0
0,1,0
0,1,0
0,2,1
3,2,0
3,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,2,1
0,1,0
0,1,0
0,1,0
45,0,1
0,0,1
1,2,0
3,1,0
45,0,1
0,2,1
0,2,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,2,1
4,0,1
1,2,1
0,1,1
2,1,0
1,2,1
0,2,0
3,2,0
0,1,0
0,1,1
1,2,1
3,1,0
45,1,1
0,1,0
1,2,0
1,2,0
0,1,0
45,1,1
0,2,0
0,1,1
0,1,0
3,1,0
0,2,1
1,2,1
0,1,0
1,2,0
0,2,1
0,1,0
0,1,0
1,2,1
1,2,1
0,1,1
0,1,0
1,2,0
1,1,0
1,2,0
4,2,1
3,2,0
0,2,1
0,1,0
1,2,1
5,2,1
0,0,1
0,1,1
0,1,0
1,2,1
1,1,0
3,1,0
0,1,0
0,1,1
3,1,0
0,0,1
0,1,1
0,1,0
1,2,0
0,1,0
0,1,1
0,1,0
0,1,1
0,2,0
0,1,1
0,2,1
0,1,0
0,1,1
3,1,0
0,1,0
45,0,1
0,1,0
0,1,0
0,0,1
0,0,1
0,1,1
0,1,1
0,2,1
3,2,1
3,1,0
3,1,0
0,2,1
1,2,0
1,2,0
0,1,0
0,1,1
1,2,0
0,2,1
0,1,1
0,2,1
0,1,0
0,1,1
0,2,1
0,1,0
3,1,0
3,1,0
1,2,0
0,1,0
1,2,1
1,2,0
1,1,0
11,1,0
0,1,0
0,2,1
0,1,0
11,1,0
1,2,1
0,1,1
3,2,0
1,2,1
0,1,0
3,2,0
0,1,1
0,1,0
0,2,0
0,1,0
31,1,1
0,1,0
0,0,1
4,0,1
1,2,0
0,0,1
0,1,1
0,1,0
1,2,0
1,2,1
3,1,0
0,1,0
3,1,0
3,1,0
0,1,0
0,1,0
1,2,0
1,2,0
1,2,0
0,0,1
45,1,1
0,1,0
3,2,0
0,0,1
11,1,0
45,1,1
0,1,1
3,1,0
0,1,0
0,1,1
1,2,1
3,1,0
0,2,1
3,2,0
0,1,1
0,1,0
0,1,1
0,1,1
0,1,0
0,2,1
39,0,1
3,2,0
0,1,0
1,2,0
1,2,0
1,2,1
0,0,1
0,0,1
3,2,0
3,2,0
0,1,0
0,1,1
3,1,0
0,1,0
0,1,0
3,1,0
3,1,0
0,0,1
5,1,1
1,2,0
0,1,0
1,2,0
3,2,0
0,1,0
3,1,0
0,2,1
1,2,0
0,1,1
31,1,1
5,0,1
0,1,1
0,0,1
0,1,0
0,2,1
0,2,1
0,1,0
1,1,1
0,1,1
0,1,0
0,2,1
0,1,0
0,1,0
12,2,1
0,1,0
0,1,1
0,1,0
0,1,1
1,2,0
0,1,0
3,2,0
0,1,0
0,1,0
1,2,1
0,1,0
0,2,1
1,2,0
0,2,1
1,1,0
4,2,1
0,1,0
1,2,1
0,1,0
0,2,1
0,1,0
0,1,0
1,1,0
0,0,1
0,2,1
0,1,0
3,1,0
0,1,0
0,1,1
1,1,0
0,1,0
0,1,0
3,1,0
0,2,1
0,1,0
0,1,0
0,1,1
0,1,0
0,1,0
1,1,0
39,1,1
0,1,1
0,1,1
3,1,0
3,1,0
0,0,1
1,2,1
3,1,0
0,1,1
1,2,1
3,1,0
0,1,0
45,1,1
0,1,0
0,2,1
0,2,0
3,1,0
3,1,0
1,2,0
0,0,1
5,0,1
0,1,1
0,2,0
39,1,1
0,2,1
0,1,1
3,1,0
0,1,0
0,1,1
0,1,1
0,1,0
3,1,0
0,2,0
1,2,1
0,2,0
1,1,0
1,2,0
0,1,1
0,1,1
1,2,0
0,1,0
0,2,1
0,2,0
1,2,0
0,1,0
0,1,0
0,1,1
0,2,1
3,1,0
0,2,1
0,1,0
0,1,0
3,1,0
11,2,1
0,0,1
0,2,0
45,1,1
0,1,0
0,1,1
1,2,0
0,1,0
0,1,0
0,1,0
1,0,1
1,2,1
1,2,0
39,0,1
1,1,0
0,1,0
1,2,0
0,2,1
0,1,1
1,2,0
0,1,0
1,2,0
1,0,1
0,1,1
3,2,0
45,1,1
0,1,1
0,1,0
4,1,0
1,2,0
1,2,1
0,0,1
0,2,1
0,1,0
0,1,0
0,2,0
0,1,0
39,1,1
3,1,0
1,2,1
0,0,1
0,1,1
0,1,1
4,1,1
1,2,1
0,1,0
0,2,0
0,1,1
0,1,0
0,1,0
3,1,0
11,1,1
0,2,0
0,1,0
0,1,1
1,2,0
0,2,1
0,1,0
0,1,0
1,2,1
3,1,0
0,0,1
0,1,1
0,1,0
0,1,0
5,1,1
2,2,0
0,1,0
1,2,1
0,1,0
1,2,1
1,2,1
3,1,0
0,1,0
0,2,1
0,1,0
0,2,1
45,1,1
1,2,0
0,1,0
0,1,0
0,2,1
0,1,0
0,1,0
1,0,1
0,2,1
0,1,1
5,2,1
1,2,0
0,1,0
0,1,1
1,2,1
0,1,1
0,1,1
3,1,0
0,2,0
1,2,0
0,1,0
3,1,0
0,2,1
3,1,0
26,2,1
1,2,0
0,1,1
0,1,0
1,2,1
0,1,1
0,1,0
0,2,1
3,1,0
0,2,1
1,2,1
0,1,0
0,1,0
0,0,1
0,1,1
0,1,0
0,2,1
0,1,0
0,2,0
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
1,2,0
0,1,1
3,2,0
1,2,0
0,1,1
0,2,0
0,1,0
0,2,1
1,1,0
0,0,1
5,1,1
1,1,0
1,0,1
1,2,0
0,1,1
1,2,0
1,2,1
1,2,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,0
0,2,1
0,0,1
3,1,0
0,1,0
1,2,1
39,1,1
1,2,0
0,0,1
3,2,0
1,2,0
0,2,1
0,1,0
0,1,0
0,1,0
0,1,0
1,2,1
0,1,1
1,1,0
1,2,1
0,1,1
19,1,0
3,2,0
0,2,1
0,2,0
0,1,1
0,2,1
0,1,0
0,1,0
1,1,0
0,1,0
1,2,1
3,1,0
1,2,0
1,2,0
5,0,1
3,2,1
0,1,1
0,2,0
1,2,0
0,1,0
0,1,0
